Jastarnia,254,10
Jastków,181,3
Jastrowie,351,12
Jastrząb,300,5
Jastrzębia,261,5
Jastrzębie-Zdrój,16,15
Jasło,134,8
Jawor,135,1
Jawornik Polski,251,8
Jaworze,71,15
Jaworzno,17,15
Jaworzyna Śląska,370,1
Jaśliska,160,8
Jaświły,196,9
Jedlicze,160,8
Jedlina-Zdrój,319,1
Jedlińsk,261,5
Jedlnia-Letnisko,261,5
Jednorożec,249,5
Jedwabne,357,9
Jedwabno,298,11
Jejkowice,268,15
Jelcz-Laskowice,231,1
Jelenia Góra,18,1
Jeleniewo,295,9
Jeleśnia,380,15
Jemielnica,289,7
Jemielno,124,1
Jerzmanowa,125,1
Jerzmanowice-Przeginia,155,6
Jeziora Wielkie,195,2
Jeziorany,219,11
Jeziorzany,179,3
Jeżewo,373,2
Jeżowe,205,8
Jeżów,81,14
Jeżów Sudecki,140,1
Jodłowa,102,8
Jodłownik,175,6
Joniec,259,5
Jonkowo,219,11
Jordanów,294,6
Jordanów Śląski,329,1
Juchnowiec Kościelny,69,9
Jutrosin,265,12
Józefów,230,5
Józefów,74,3
Józefów nad Wisłą,222,3
Jędrzejów,136,16
Kaczory,237,12
Kadzidło,227,5
Kalety,307,15
Kalinowo,104,11
Kaliska,287,10
Kalisz,19,12
Kalisz Pomorski,98,13
Kalwaria Zebrzydowska,317,6
Kamienica,175,6
Kamienica Polska,96,15
Kamieniec,118,12
Kamieniec Ząbkowicki,349,1
Kamienna Góra,138,1
Kamiennik,213,7
Kamień,271,8
Kamień,88,3
Kamień Krajeński,301,2
Kamień Pomorski,139,13
Kamieńsk,262,14
Kamionka,179,3
Kamionka Wielka,210,6
Kampinos,318,5
Karczew,230,5
Karczmiska,222,3
Kargowa,347,4
Karlino,68,13
Karnice,121,13
Karniewo,186,5
Karpacz,140,1
Karsin,154,10
Kartuzy,141,10
Katowice,20,15
Kawęczyn,316,12
Kazanów,348,5
Kazimierz Biskupi,149,12
Kazimierz Dolny,255,3
Kazimierza Wielka,142,16
Kałuszyn,194,5
Kańczuga,251,8
Kaźmierz,296,12
Kcynia,202,2
Kielce,21,16
Kiernozia,359,14
Kietrz,126,7
Kiełczygłów,234,14
Kije,240,16
Kijewo Królewskie,87,2
Kikół,176,2
Kisielice,130,11
Kiszkowo,109,12
Kiwity,174,11
Kleczew,149,12
Klembów,327,5
Kleszczele,127,9
Kleszczewo,245,12
Kleszczów,65,14
Klimontów,272,16
Klonowa,277,14
Kluczbork,144,7
Klucze,218,6
Kluczewsko,340,16
